ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10305018,HY360542,01/01/2014 12:00:00 AM,059XX S CAMPBELL AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0824,008,16,66,17,1160766,1865032,2014,11/16/2015 03:58:44 PM,41.78533761,-87.686102667,"(41.78533761, -87.686102667)"
9447312,HX100737,01/01/2014 12:00:00 AM,025XX N KEDZIE BLVD,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1413,014,35,22,06,1154522,1916902,2014,01/05/2014 12:39:48 AM,41.927801474,-87.707610246,"(41.927801474, -87.707610246)"
10302704,HY491180,01/01/2014 12:00:00 AM,0000X N PARKSIDE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,true,1513,015,29,25,20,1138552,1899993,2014,11/16/2015 03:58:44 PM,41.881705967,-87.766705019,"(41.881705967, -87.766705019)"
9448417,HX101712,01/01/2014 12:00:00 AM,003XX N HALSTED ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1214,012,27,28,06,1170955,1902170,2014,01/05/2014 12:39:48 AM,41.887031095,-87.647658254,"(41.887031095, -87.647658254)"
10273961,HY461771,01/01/2014 12:00:00 AM,045XX N SHERIDAN RD,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,false,1914,019,46,3,20,1168831,1930527,2014,10/19/2015 03:56:55 PM,41.96489046,-87.654633881,"(41.96489046, -87.654633881)"
9448302,HX101520,01/01/2014 12:00:00 AM,088XX S KENWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0412,004,8,48,26,1186704,1846641,2014,01/17/2014 12:40:17 AM,41.734295849,-87.591584489,"(41.734295849, -87.591584489)"
10287560,HY475851,01/01/2014 12:00:00 AM,004XX E NORTH WATER ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,1834,018,42,8,11,1179206,1903103,2014,11/02/2015 03:55:50 PM,41.889406379,-87.61733006,"(41.889406379, -87.61733006)"
9449217,HX102247,01/01/2014 12:00:00 AM,007XX E 130TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,0533,005,9,54,14,1183467,1819186,2014,01/06/2014 12:39:41 AM,41.659031678,-87.604294603,"(41.659031678, -87.604294603)"
9913562,HY102666,01/01/2014 12:00:00 AM,062XX N TALMAN AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,2413,024,50,2,20,1157490,1941338,2014,01/08/2015 12:39:18 PM,41.994795298,-87.696036125,"(41.994795298, -87.696036125)"
9447282,HX100708,01/01/2014 12:00:00 AM,015XX S KOSTNER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1012,010,24,29,07,1147263,1892131,2014,01/10/2014 12:39:32 AM,41.859969414,-87.734919353,"(41.859969414, -87.734919353)"
